image_path,label
Kather_texture_2016_image_tiles_5000\05_DEBRIS\329F_CRC-Prim-HE-10_017.tif_Row_151_Col_151.tif,5
Kather_texture_2016_augmented\329F_CRC-Prim-HE-10_017_aug_0.jpg,5
Kather_texture_2016_augmented\329F_CRC-Prim-HE-10_017_aug_1.jpg,5
Kather_texture_2016_augmented\329F_CRC-Prim-HE-10_017_aug_2.jpg,5
Kather_texture_2016_augmented\329F_CRC-Prim-HE-10_017_aug_3.jpg,5
Kather_texture_2016_augmented\329F_CRC-Prim-HE-10_017_aug_4.jpg,5
Kather_texture_2016_image_tiles_5000\07_ADIPOSE\152FB_CRC-Prim-HE-06_004.tif_Row_2551_Col_2701.tif,7
Kather_texture_2016_augmented\152FB_CRC-Prim-HE-06_004_aug_0.jpg,7
Kather_texture_2016_augmented\152FB_CRC-Prim-HE-06_004_aug_1.jpg,7
Kather_texture_2016_augmented\152FB_CRC-Prim-HE-06_004_aug_2.jpg,7
Kather_texture_2016_augmented\152FB_CRC-Prim-HE-06_004_aug_3.jpg,7
Kather_texture_2016_augmented\152FB_CRC-Prim-HE-06_004_aug_4.jpg,7
Kather_texture_2016_image_tiles_5000\01_TUMOR\4995_CRC-Prim-HE-02_014.tif_Row_151_Col_1.tif,1
Kather_texture_2016_augmented\4995_CRC-Prim-HE-02_014_aug_0.jpg,1
Kather_texture_2016_augmented\4995_CRC-Prim-HE-02_014_aug_1.jpg,1
Kather_texture_2016_augmented\4995_CRC-Prim-HE-02_014_aug_2.jpg,1
Kather_texture_2016_augmented\4995_CRC-Prim-HE-02_014_aug_3.jpg,1
Kather_texture_2016_augmented\4995_CRC-Prim-HE-02_014_aug_4.jpg,1
Kather_texture_2016_image_tiles_5000\06_MUCOSA\13940_CRC-Prim-HE-09_001.tif_Row_1951_Col_1.tif,6
Kather_texture_2016_augmented\13940_CRC-Prim-HE-09_001_aug_0.jpg,6
Kather_texture_2016_augmented\13940_CRC-Prim-HE-09_001_aug_1.jpg,6
Kather_texture_2016_augmented\13940_CRC-Prim-HE-09_001_aug_2.jpg,6
Kather_texture_2016_augmented\13940_CRC-Prim-HE-09_001_aug_3.jpg,6
Kather_texture_2016_augmented\13940_CRC-Prim-HE-09_001_aug_4.jpg,6
Kather_texture_2016_image_tiles_5000\06_MUCOSA\11798_CRC-Prim-HE-03_006.tif_Row_1501_Col_451.tif,6
Kather_texture_2016_augmented\11798_CRC-Prim-HE-03_006_aug_0.jpg,6
Kather_texture_2016_augmented\11798_CRC-Prim-HE-03_006_aug_1.jpg,6
Kather_texture_2016_augmented\11798_CRC-Prim-HE-03_006_aug_2.jpg,6
Kather_texture_2016_augmented\11798_CRC-Prim-HE-03_006_aug_3.jpg,6
Kather_texture_2016_augmented\11798_CRC-Prim-HE-03_006_aug_4.jpg,6
